dict-idx,long-text,short-text,WD-PID,phrase11,phrase12,phrase13,phrase21,phrase22,phrase23,sample1,sample2,sample3
92,/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,applies to jurisdiction,P1001,instance/jurisdiction,countryOfOffice,jurisdictionOfOffice,jurisdiction_of_office.,jurisdiction_of_office,jurisdiction of office,"['Donaldus Milford Payne', 'Essex County']","['William Howard Taft', 'Philippines']","['Joseph Stalin', 'Soviet Union']"
93,/base/aareas/schema/administrative_area/capital,area capital,P36,P36,capital of,capitalOf,capital of aareas,capital city,Capital city of administrative area,"['Essex', 'Chelmsford']","['Queensland', 'Brisbane']","['Manitoba', 'Winnipeg']"
94,/film/film/film_production_design_by,film production designer,P2554,filmProductionDesignBy,filmProductionDesignBy,P178Production designer,film_production_design_by,/film/film_production_design_by,film production design by,"['The Last Station', 'Patrizia von Brandenstein']","['In the Mood for Love', 'William Chang']","['Robots', 'William Joyce']"
95,/user/jg/default_domain/olympic_games/sports,include sports,P527,instance of Olympic Games sport,P921,Olympic sport,sports played at Olympic Games,sports played at Olympic Games,sports played in Olympic Games,"['2002 Winter Olympics', 'snowboarding']","['1948 Winter Olympics', 'speed skating']","['1928 Summer Olympics', 'Greco-Roman wrestling']"
96,/award/award_category/category_of,awards group,P361,instance of,awardCategoryOf,instance/instance_of,/category_of Grammy Awards,category of,category_of Grammy Awards,"['Grammy Award for Best Traditional Gospel Album', 'Grammy Awards']","['Grammy Award for Best Pop Performance by a Duo or Group with Vocals', 'Grammy Awards']","['Primetime Emmy Award for Outstanding Writing for a Comedy Series', 'Primetime Emmy Award']"
97,/education/educational_institution/school_type,type of education institution,P31,instance of school type,instance of school type,instance of school type,"school_type is public university, college, high school, research, or land-grant university.",school type,school type,"['University of Toledo', 'public university']","['Black Mountain College', 'college']","['University of Louisiana at Monroe', 'public university']"
98,/sports/sports_team/roster./baseball/baseball_roster_position/position,position played on baseball team,,position_received_by_team,positionInTeam,position_in_baseball_roster,/sports/baseball_position played by.,"/baseball rosters consist of players in positions such as pitcher, center fielder, second baseman, catcher, and outfielder.",/baseball/baseball_roster_position/position,"['Los Angeles Dodgers', 'outfielder']","['Los Angeles Dodgers', 'infielder']","['San Francisco Giants', 'first baseman']"
99,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,producer of,P162,producesTVProgram,producedTvProgram,producedProgram,produces the program,produces the program,produced program,"['Tim Minear', 'American Horror Story']","['David Milch', 'Hill Street Blues']","['Ben Silverman', 'Ugly Betty']"
100,/location/us_county/county_seat,county seat,Q62049,HasCountySeat,locatedInSeatOf,P31: P1384,county_seat of Portsmouth is Portsmouth,County seat of a US county,county seat is in,"['Portsmouth', 'Portsmouth']","['Lexington', 'Lexington']","['Shelby County', 'Memphis']"
101,/education/university/fraternities_and_sororities,fraternities and sororities,,/fraternities_and_sororities,/fraternities_sororities,fraternitiesAndSororities,Fraternities and Sororities at University of North Carolina at Charlotte: Alpha Delta Pi,/fraternities_and_sororities at universities,/fraternities_and_sororities in universities,"['Northern Illinois University', 'Alpha Delta Pi']","['University of Toledo', 'Alpha Sigma Phi']","['Eastern Michigan University', 'Alpha Sigma Phi']"
102,/film/film/other_crew./film/film_crew_gig/crewmember,film crewmember,P3092,/film/film_crew_member,/film/crewmember,/film/crewmember,Other crew member of film crew gig,Film crew member,Other crew member worked on film.,"['The Pursuit of Happyness', 'Willie D. Burton']","['Eragon', 'Randy Thom']","['Star Wars: Episode IV ?€? A New Hope', 'Rick Baker']"
103,/military/military_conflict/combatants./military/military_combatant_group/combatants,military participant,P710,P710: military combatant group combatants,P527: Kingdom of Bulgaria,/military/combatant,combatants.,Combatants of military conflict.,Combatants in military conflict of military combatant group,"['Gulf War', 'Saudi Arabia']","['Second Sino-Japanese War', 'Soviet Union']","['Operation Barbarossa', 'Kingdom of Romania']"
104,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,canoodled,,canoodledWith,canoodledParticipant,canoodled participant,celebrity canoodled participant,celebrity canoodled participant,celebrity canoodled participant.,"['Bette Davis', 'Anatole Litvak']","['Mary-Kate Olsen', 'Jonah Hill']","['Joel Madden', 'Lindsay Lohan']"
105,/education/educational_degree/people_with_this_degree./education/education/institution,insitutions offering this academic degree,,degree_institution_of,"P166	(P166)",instance of educational institution_degree,People with this degree studied at this institution.,People with this degree attended this institution.,People with Bachelor of Arts degrees from the University of Hong Kong.,"[""master's degree"", 'Queens College']","['Master of Science', 'University of California, Los Angeles']","['Doctor of Philosophy', 'University of Florida']"
106,/organization/organization/child./organization/organization_relationship/child,owner of,P1830,childOrganization,childOrganizationOf,childOrganization,child organization,child.,/organization/organization/child.,"['University of Cambridge', ""St John's College""]","['Australian Broadcasting Corporation', 'ABC']","['Viacom', 'Nickelodeon']"
107,/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,touring transporation,,/travel/transportation/mode of transportation,/travel/transportation/mode of transportation,P5109,/how_to_get_here./travel/transportation/mode_of_transportation,/how_to_get_here./travel/transportation/mode_of_transportation,mode of transportation for travel destination,"['Buffalo', 'bus']","['Dallas', 'bus']","['Toronto', 'air travel']"
108,/award/award_category/nominees./award/award_nomination/nominated_for,nomination,P166,nominee for,nominatedFor,/award/nominated_for,/nominated_for,nominated_for,nominated_for,"['Writers Guild of America Award for Best Original Screenplay', 'Milk']","['Golden Raspberry Award for Worst Picture', 'Waterworld']","['National Society of Film Critics Award for Best Supporting Actress', 'Short Cuts']"
109,/medicine/symptom/symptom_of,symptons and signs,P780,SymptomOf,symptomOf,hasSymptom,symptom of,symptom_of,Symptom of disease,"['fatigue', ""Crohn's disease""]","['anorexia', 'peritonitis']","['dyspnea', 'peritonitis']"
110,/people/ethnicity/people,notable people of this ethnicity,P3342,ethnicity.,ethnicity:people,ethnicity_of,/people/ethnicity/people describes the ethnicity of a person.,ethnicity of people,/people/ethnicity/people,"['Jewish people', 'Debi Mazar']","['Russian Americans', 'Liv Tyler']","['Jewish people', 'Mark Ronson']"
111,/film/film/other_crew./film/film_crew_gig/film_crew_role,film crew role,P3831,/film/crew_role,filmCrewRoleOf,P921,film_crew_role,film's crew member has the role of...,crew role,"['The Longest Yard', 'visual effects supervisor']","['Lara Croft: Tomb Raider ?€? The Cradle of Life', 'graphic designer']","['Funny People', 'set dresser']"
112,/government/governmental_body/members./government/government_position_held/legislative_sessions,legislative sessions,P361?,P463: legislative_sessions,legislative_session,legislative_session,/government/governmental_body/members./government/government_position_held/legislative_sessions,legislative sessions of,/government/governmental_body/members./government/government_position_held/legislative_sessions,"['United States House of Representatives', '13th United States Congress']","['United States House of Representatives', '30th United States Congress']","['United States House of Representatives', '97th United States Congress']"
113,/business/business_operation/industry,industry,P452,industry_of,industry,industry,belongs to industry,belongs to industry,industry of photography,"['Konami', 'video game industry']","['MicroProse', 'video game']","['Media Asia Entertainment Group', 'entertainment']"
114,/film/film/country,film country of origin,P495,country of production,countryOfOrigin,countryOfOrigin,/film/film/country - produced in,The film is from the specified country.,/film/film/country is set in.,"['Memento', 'United States of America']","['MASH', 'United States of America']","['Thoroughly Modern Millie', 'United States of America']"
115,/people/profession/specialization_of,specialization,P101,instance of profession,occupation.,instance of profession,specializes in,specialization_of,specializes in,"['association football coach', 'management']","['session musician', 'musician']","['judge', 'official']"
116,/location/hud_county_place/place,county place,P131,Located in County,instance of (P31),Located in,(location/hud_county_place/place),/location/hud_county_place/place,County place located in Fremont.,"['Danbury', 'Danbury']","['Sacramento', 'Sacramento']","['Louisville', 'Louisville']"
117,/organization/role/leaders./organization/leadership/organization,organizations with this leadership,,leadership.organization,/leadership/president_of,leadership_organization,Leadership organization of [subject] is [object].,organization leadership leader of,organization has leaders in the role/position of /organization/leadership/organization.,"['rector', 'Lund University']","['chief executive officer', 'Sunderland A.F.C.']","['president', 'Valparaiso University']"
118,/music/instrument/instrumentalists,notable people playing this instrument,P1303_inv,instrumentalists,/music/instrument/instrumentalist,instrumentalistPlaying,Instrumentalists who play the fiddle include Hal Smith,instrumentalists played instruments,Musicians play instruments.,"['fiddle', 'Hal Smith']","['piano', 'Jim Steinman']","['flute', 'David Byrne']"
119,/time/event/locations,location of event,P276,P1080,located in,located_in,/events/occurred_at/Armenia,took place in,(Time/event/locations) in (location) during the (event),"['Russian Civil War', 'Armenia']","[""1988 NCAA Division I men's basketball tournament"", 'Pontiac']","[""1996 NCAA Division I men's basketball tournament"", 'Milwaukee']"
120,/film/film/produced_by,film producer,P162,producedBy,producedBy,produced by,/film/film/produced_by,produced by,produced_by,"['Men in Black', 'Walter F. Parkes']","['Johnny English Reborn', 'Tim Bevan']","[""The Hitchhiker's Guide to the Galaxy"", 'Roger Birnbaum']"
121,/music/performance_role/track_performances./music/track_contribution/role,instrument plays alongside,,/music/track_contribution/role,/music/track_contribution/role,/performance_role/trackContributionRole,track performance role in contributing to music performance.,track performance role.,track_performances./music/track_contribution/role,"['string', 'guitar']","['electric guitar', 'glockenspiel']","['Hammond organ', 'double bass']"
122,/film/film/runtime./film/film_cut/film_release_region,film release region,P495,country of release,filmReleaseRegion,hasReleaseRegion,/film/film_cut/film_release_region.,/film/film/country,/film/film/release_region.,"['Get Low', 'United States of America']","['A Simple Life', 'Hong Kong']","[""Legend of the Guardians: The Owls of Ga'Hoole"", 'United States of America']"
123,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,countries playing this sport,,countryAffiliation,countryOfOlympicAthlete,athletesCountryOfOrigin,represents the country of,represents country,Represents athlete's country,"['badminton', 'Russia']","['boxing', 'Sri Lanka']","['table tennis', 'Germany']"
124,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv program cast member,P161,P161_acted_in,castActor,/tv/regular_tv_appearance/actor,regular_casts actors in regular tv appearances.,regular cast actor in tv program,regular_cast appearance by actor,"['The Penguins of Madagascar', 'Kevin Michael Richardson']","['Michael Jackson: 30th Anniversary Celebration', 'Janet Leigh']","[""Gulliver's Travels"", 'Edward Fox']"
125,/award/award_nominee/award_nominations./award/award_nomination/award,award received,P166,P166,P1252,P1686,/award/award_nominee/award_nominations./award/award_nomination/award,Award received by.,award_nomination for,"['Jenny McCarthy', 'Golden Raspberry Award for Worst Actress']","['Dolly Parton', 'Grammy Award for Best Country Song']","['Tim Bevan', 'Academy Award for Best Picture']"
126,/people/person/spouse_s./people/marriage/type_of_union,marital status,,marriage_union,hasMarriageType,marriedTo,type_of_union is marriage.,type of union: marriage,marriage relationships,"['Herbie Hancock', 'marriage']","['Orson Welles', 'domestic partnership']","['Mahesh Bhatt', 'marriage']"
127,/film/actor/dubbing_performances./film/dubbing_performance/language,languages dubbing,P1412,dubbing_language,/film/dubbing_language,P3647,/film/actor/dubbing_performances./film/dubbing_performance/language English,dubbed in English,dubbing performances in English,"['Hilary Haag', 'English']","['Mark Strong', 'English']","['Bryan Cranston', 'English']"
128,/sports/sports_position/players./sports/sports_team_roster/team,sports teams with this position,,hasTeam,teamMemberOf,hasTeam,team roster,players on team,/sports/sports_team_roster/team,"['midfielder', 'Real Valladolid']","['catcher', 'San Diego Padres']","['outfielder', 'Oakland Athletics']"
129,/award/award_ceremony/awards_presented./award/award_honor/honored_for,award winning works,P1346,honoredFor,/wdt:P180,/award/honored_for,honored for,honored for,honored_for,"['65th British Academy Film Awards', 'The Iron Lady']","['77th Academy Awards', 'The Aviator']","['Satellite Awards 2006', 'Ugly Betty']"
130,/sports/sports_team/sport,sport,P641,instance of (P31),sport played by,instance of sport,/sports/sports_team/sport,association football,/sports/sports_team/sport,"['England cricket team', 'cricket']","['Bristol City F.C.', 'association football']","['Barnsley F.C.', 'association football']"
131,/tv/tv_program/country_of_origin,tv program country of origin,P495,countryOfOrigin,countryOfOrigin,instanceOfCountry,is produced in,country_of_origin of TV programs,originates from,"['Picket Fences', 'United States of America']","['Damages', 'United States of America']","['Curb Your Enthusiasm', 'United States of America']"
132,/award/award_category/disciplines_or_subjects,category,,/award_category_subject,/award/discipline,P921,disciplines_or_subjects of award_category,award category disciplines_or_subjects,awarded for being in the category of,"[""Governor General's Award for English-language non-fiction"", 'non-fiction']","['World Fantasy Award for Best Novella', 'short story']","['Hong Kong Film Award for Best Cinematography', 'film']"
133,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,friendship,,friendship participant,P2868,friendshipParticipant,friendship participant,friendship participant,Friendship participant,"['Eminem', 'Jonah Hill']","['Tina Fey', 'Amy Poehler']","['Goldie Hawn', 'Sally Field']"
134,/people/ethnicity/languages_spoken,"languages spoken, written or signed",P1412,ethnicity:languages_spoken,languagesSpokenBy,ethnicGroupLanguageSpokenBy,languages_spoken by ethnicities,spoken languages of ethnicity's people,spoken languages,"['Greek Americans', 'American English']","['Dutch', 'English']","['Haudenosaunee', 'French']"
135,/tv/tv_program/genre,tv program genre,P136,genre,"genre (NYPD Blue, police procedural)",instance of genre,TV program genre,/tv/tv_program/genre,genre of a TV program,"['Sonic X', 'comedy film']","['Phineas and Ferb', 'animation']","['The Boondocks', 'satire']"
136,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,conferred by,P1027,/education/major_field_of_study,/education/major_field_of_study,/education/major_field_of_study,people with this degree studied major field of study,/people_with_this_degree./education/education/major_field_of_study,People with this degree studied...,"['Master of Fine Arts', 'television']","['Bachelor of Science', 'engineering']","[""master's degree"", 'computer science']"
137,/people/person/sibling_s./people/sibling_relationship/sibling,sibling,P3373,sibling.,siblingOf,siblingOf,has sibling,sibling of,has sibling,"['Sean Penn', 'Chris Penn']","['Raj Kapoor', 'Shammi Kapoor']","['Joely Richardson', 'Natasha Richardson']"
138,/business/business_operation/assets./measurement_unit/dated_money_value/currency,assets currency,P38,P3063,P1279,currencyCode,/business/business_operation/assets./measurement_unit/dated_money_value/currency,"/assets./measurement_unit/dated_money_value/currency, United States dollar",/business/business_operation/assets./measurement_unit/dated_money_value/currency,"['La Salle University', 'United States dollar']","['Graham Holdings Company', 'United States dollar']","['Lehigh University', 'United States dollar']"
139,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,medal awarded,P4622,medal_awarded,P168: medal,instance of medal in,winning a medal in the Olympic Games,Olympic games medals awarded Olympic medal honor medal,Olympic Games Medal Awarded Honor,"['1900 Summer Olympics', 'gold medal']","['1904 Summer Olympics', 'gold medal']","['1912 Summer Olympics', 'gold medal']"
140,/film/film/edited_by,film editor,P1040,director,filmEditedBy,hasEditor,edited by,Film edited by Danilo Donati,"Film edited by: Michael Kahn, Chris Lebenzon, Joel Coen, Ethan Coen","['The Last Airbender', 'Conrad Buff IV']","['Terminator Salvation', 'Conrad Buff IV']","['Ed Wood', 'Chris Lebenzon']"
141,/film/actor/film./film/performance/special_performance_type,special film performance,,instance of special performance type,instance of cameo_appearance,hasSpecialPerformanceType,special performance type,special_performance_type cameo appearance,special_performance_type cameo appearance,"['Maaya Sakamoto', 'seiy??']","['Goldie Hawn', 'cameo appearance']","['Kathy Griffin', 'cameo appearance']"
142,/education/educational_institution_campus/educational_institution,campus of,P527,/educational_institution campus,/educational_institution/ campus,/is_campus_of,/education/educational_institution_campus/educational_institution,educational_institution_campus,/education/educational_institution,"['University of California, Berkeley', 'University of California, Berkeley']","['Concordia University', 'Concordia University']","['London School of Economics and Political Science', 'London School of Economics and Political Science']"
143,/film/film/written_by,film written by,P58,hasWriter,author of,writtenBy,was written by,/film/film/written_by - movie written by a particular writer,film written by,"['Pinocchio', 'Roberto Benigni']","['The Cat in the Hat', 'David Mandel']","['Richard III', 'Laurence Olivier']"
144,/sports/sports_position/players./sports/sports_team_roster/position,roster position,,hasPosition,/sports/position/rosterPosition,/sports/positionOnTeam,/sports/sports_position/players./sports/sports_team_roster/position,/sports/position/players./sports/team_roster/position,players play position,"['small forward', 'shooting guard']","['placekicker', 'punter']","['halfback', 'kickoff returner']"
145,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,phone service location,,phoneLocationCountryOfService,phoneLocationOf,locationCountry,phone number location in different countries,phone_number service location.,phone number service location.,"['CNN', 'United States of America']","['Avid Technology', 'Middle East']","['New York University', 'United States of America']"
146,/film/film/personal_appearances./film/personal_film_appearance/person,film cast member,P161,personal_appearance/perso,/personalFilmAppearancePerson,film:personalFilmAppearancePerson,/film/film/personal_appearances/person,personal appearances/personal film appearance/person.,/personal_film_appearance/person,"['George Harrison: Living in the Material World', 'Paul McCartney']","['Live Free or Die Hard', 'George W. Bush']","['The Other Guys', 'Brooke Shields']"
147,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,taxonomy entry of,,instance of Library of Congress Classification,instance of,taxonomic_classification_of,taxonomy in Library of Congress Classification,taxonomy relates to Library of Congress Classification.,taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,"['Mississippi', 'Library of Congress Classification']","['Jainism', 'Library of Congress Classification']","['19th century', 'Library of Congress Classification']"
148,/people/person/gender,sex or gender,P21,gender (P21),gender (Q6581097),gender (instance of) organism (qualifier),gender of person is male/female,"(person, gender, organism)","gender male, gender male, gender female, gender male, gender male, gender female, gender male, gender male, gender male, gender male","['Isaac Asimov', 'male organism']","['Alan Parsons', 'male organism']","['Mike Bryan', 'male organism']"
149,/people/deceased_person/place_of_death,place of death,P20,place_of_death,place_of_death,/place/of/death,deceased_person/place_of_death,Place of death.,/place_of_death,"['Henri Matisse', 'Nice']","['Elliott Smith', 'Los Angeles']","['Pete Postlethwaite', 'Shrewsbury']"
150,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,rent currency,P38,P2954,P1087,statistical_region_rent50_2_currency,rent50_2 currency is United States dollar,/rent50_2./measurement_unit/dated_money_value/currency,rent in United States dollar,"['Butler County', 'United States dollar']","['Jefferson County', 'United States dollar']","['Alexandria', 'United States dollar']"
151,/music/performance_role/guest_performances./music/recording_contribution/performance_role,musical role performed by,,/performance_instrument,/performance_role/performed_with,/musicalContribution/PguestGuestContributionPperformancerole,performing as a guest artist in a recording,guest performances recording contribution performance role,/guest_performances./recording_contribution.,"['programming', 'bongo drum']","['percussion instrument', 'djembe']","['guitar', 'electric guitar']"
152,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,medal won,,medalWon,/olympics/medalWon,/olympics/olympic_participating_country/medals_won/medal,medal,/olympics/olympic_medal_honor/medal,medal,"['Zimbabwe', 'gold medal']","['Austria', 'bronze medal']","[""People's Republic of China"", 'bronze medal']"
153,/dataworld/gardening_hint/split_to,split to,,hasSplitTo,instance of,"""P569""",split_to,split_to,split into,"['baritone saxophone', 'saxophone']","['bassist', 'bass guitar']","['University of Cincinnati', 'Cincinnati Bearcats football']"
154,/location/country/capital,capital,P36,capital of,capital_of,capitalOf,Capital city of a country.,Capital of a country,Country's capital.,"['North Korea', 'Pyongyang']","['Afghanistan', 'Kabul']","['Bangladesh', 'Dhaka']"
155,/award/award_winning_work/awards_won./award/award_honor/award,award won,P166,P166 /award/award_honor/award,P166,P166,/award/award_honor/award,award_winning_work/awards_won./award/award_honor/award,/award/award_won/award,"['Miracle on 34th Street', 'Academy Award for Best Writing, Adapted Screenplay']","['Ordinary People', 'New York Film Critics Circle Award for Best Film']","['Eastern Promises', 'Genie Award for Best Achievement in Sound Editing']"
156,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,tv program producer type,,tv:producerType,executiveProducerOf,executiveProducerOf,is produced by,/TV Producer Type: Executive Producer,TV producer type is executive producer.,"['Boston Legal', 'executive producer']","['Heroes', 'executive producer']","['Another World', 'executive producer']"
157,/base/biblioness/bibs_location/state,located in state,P131,Located in,stateLocatedIn,located in,Located in.,state of,is located in,"['Peterborough', 'Ontario']","['Springfield', 'Massachusetts']","['Basingstoke', 'Hampshire']"
158,/influence/influence_node/peers./influence/peer_relationship/peers,peers,,/influence/peer.,P6252,/influence/peer,peers.,peers.,peers of,"['David Hume', 'Benjamin Franklin']","['Nina Simone', 'James Baldwin']","['Yoko Ono', 'John Lennon']"
159,/film/film/story_by,film story by,P58,writtenBy,writtenBy,written by,story_by,story by,film story by,"['Spider-Man', 'Steve Ditko']","['2010: The Year We Make Contact', 'Arthur C. Clarke']","['Thor', 'Jack Kirby']"
160,/location/administrative_division/first_level_division_of,located in,P131,country,country,instance of administrative division in,/first_level_division_of is a division of.,/location/administrative_division/first_level_division_of,is first level division of,"['Kansas', 'United States of America']","['Marche', 'Italy']","['Glasgow', 'Scotland']"
161,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,participated in baseball season,P1923_inv,seasonOfYear,seasonPlayedIn,seasonPlayedByTeam,/baseball_team/team_stats./baseball/baseball_team_stats/season,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,Team stats for the specified season.,"['Cincinnati Reds', '2007 Major League Baseball season']","['Baltimore Orioles', '2004 Major League Baseball season']","['Detroit Tigers', '2000 Major League Baseball season']"
162,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,hall of fame inductee,P166_inv,inductee,inductedIntoHallOfFame,P251 inducted into Hall of Fame,/award/hall_of_fame/inductees,Inducted into hall of fame.,inductee inducted to hall of fame,"['Rock and Roll Hall of Fame', 'John Lee Hooker']","['Rock and Roll Hall of Fame', 'Eric Clapton']","['Rock and Roll Hall of Fame', 'Billie Holiday']"
163,/sports/sports_team/roster./american_football/football_roster_position/position,position played on football team,,americanFootballPosition,/sports/football_position,position.,roster position,roster position,American football roster position.,"['Pittsburgh Steelers', 'safety']","['Los Angeles Rams', 'tight end']","['Dallas Cowboys', 'quarterback']"
164,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,phone service language,,"service_language (organization, language)",phoneServiceLanguage,phone_service_language,phone_number service_language,Service language is English.,service_language is English,"['Oracle', 'English']","['Westfield Group', 'English']","['The Island Def Jam Music Group', 'English']"
165,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,historical roster position,,American football position: position played by player,footballPosition,/sports/football_position/played_as,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,positioned as,historical roster position,"['linebacker', 'punter']","['running back', 'defensive back']","['defensive end', 'fullback']"
166,/media_common/netflix_genre/titles,films with this genre,P136_inv,genreOfFilm,P3450,P4951,"Titles categorized under Netflix genres: psychological thriller Hannibal, political drama The Insider, historical drama Greystoke: The Legend of Tarzan Lord of the Apes, mystery fiction The Gift, slapstick Deuce Bigalow: European Gigolo, fantasy Stardust, political drama Born on the Fourth of July, cartoon Freakazoid!, drama film Heaven's Gate.",The Netflix genre titles in the category of suspense include Laura.,Titles on Netflix in the genre of television include Rome.,"['psychological thriller', 'Hannibal']","['political drama', 'The Insider']","['historical drama', 'Greystoke: The Legend of Tarzan, Lord of the Apes']"
167,/people/person/spouse_s./people/marriage/spouse,spouse,P264,married to,/spouse,P26,spouse,spouse of married person,spouse of,"['Eric Stoltz', 'Ally Sheedy']","['Kelly Preston', 'John Travolta']","['Dennis Quaid', 'Meg Ryan']"
168,/people/cause_of_death/people,notable people died in this manner,P509_inv,causeOfDeathBy,hasCauseOfDeath,causeOfDeath,people died from different causes,people who died from various causes,people cause of death people,"['handgun', 'Nicholas II of Russia']","['lymphoma', 'John Hartford']","['respiratory failure', 'Tupac Shakur']"
169,/organization/organization_founder/organizations_founded,founder of,P112_inv,foundedBy,foundedBy,founderOf,founded organizations,founded organizations,founded organizations,"['John Dewey', 'University of Chicago']","['Dwight D. Eisenhower', 'Central Intelligence Agency']","['United Kingdom', 'Council of Europe']"
170,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,governments with this position,,government_position_held_jurisdiction,P131,government_position_jurisdiction,jurisdiction_of_office,jurisdiction of office,jurisdiction_of_office.,"['prime minister', 'Morocco']","['finance minister', 'Iceland']","['mayor', 'Philadelphia']"
171,/tv/tv_program/languages,language of tv program,P407,language spoken in,language spoken in,language spoken (P2936),tv_program is in English,"tv_program uses_languages English, Japanese, Dutch","(tv_program, languages, English)","['ASAP', 'Filipino']","['Phineas and Ferb', 'English']","['30 Rock', 'English']"
172,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,vacationers,,vacationChoiceVacationer,vacationer's vacation choice,vacationerLocatedIn,vacationers choose vacationer,vacationer prefers vacationing at certain locations,vacationers vacation_choice vacationer,"['Turks and Caicos Islands', 'Ashton Kutcher']","['Fiji', 'Tom Cruise']","['Maui', 'Queen Latifah']"
173,/influence/influence_node/influenced_by,influenced by,P737,/P737,influencedBy,influencedBy,influenced_by,influenced by,influenced by,"['Steve Miller Band', 'Chuck Berry']","['Jacques Lacan', 'James Joyce']","['Haruki Murakami', 'David Lynch']"
174,/location/country/second_level_divisions,contains location,P131_inv,located_in,located_in??????country_and_subdivisions,hasSecondLevelDivision,Second-level divisions of countries,Second level divisions of countries,Countries have second level divisions such as counties or provinces.,"['United States of America', 'Lake County']","['United States of America', 'Stark County']","['United States of America', 'Outagamie County']"
175,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,notable athelets,,/sports/pro_athlete/sport played,/pro_athletes/pro_sports_played,/pro_sports_played,Professional athletes who have played in various professional sports.,professional athletes in a sport,Pro athletes played in pro sports.,"['American football', 'Jackie Robinson']","['association football', 'Landon Donovan']","['association football', 'Jade North']"
176,/government/legislative_session/members./government/government_position_held/district_represented,includes representatives from,,legislative_session/members/government_position_held_district_represented,/distric_representedBy,legislative_session/members/district_represented,District represented by members in legislative sessions.,District represented by,district_represented in /government/legislative_session/members./government/government_position_held,"['94th United States Congress', 'Hawaii']","['103rd United States Congress', 'Pennsylvania']","['106th United States Congress', 'Indiana']"
177,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,sport featured in,,/P710,/olympics/athlete_affiliation,P577,athletes affiliated with Olympics,Athletes participated in Olympics.,olympic_sport affiliated with Olympics,"['eventing', '2000 Summer Olympics']","['freestyle wrestling', '1988 Summer Olympics']","['show jumping', '1980 Summer Olympics']"
178,/medicine/disease/risk_factors,risk factor,,hasRiskFactor,risk_factors,HasRiskFactor,"Risk factors for diseases include diabetes, Filipino Americans, obesity, tobacco use disorder, old age, Asian people, and poverty.",risk factors for disease,Medicine disease risk factors.,"['pharyngitis', 'diabetes']","['asthma', 'Filipino Americans']","['sinusitis', 'diabetes']"
179,/award/award_ceremony/awards_presented./award/award_honor/award_winner,award winners,P1346 or P166_inv,/award/award_winner,awardsPresentedWinner,/awardsPresented/Winner,Awards Presented to Award Winners,Award Winner at Awards Presented at Award Ceremony,award_winner at awards_presented.,"['14th Academy Awards', 'Jerome Kern']","['56th Golden Globe Awards', 'Jack Nicholson']","['Satellite Awards 2006', 'Willie D. Burton']"
180,/american_football/football_team/current_roster./sports/sports_team_roster/position,position currently played on american football team,,hasPosition,current_roster_position,/roster/position,current roster position,current roster position,current roster position,"['Indianapolis Colts', 'linebacker']","['Tampa Bay Buccaneers', 'punter']","['Dallas Cowboys', 'running back']"
181,/music/artist/contribution./music/recording_contribution/performance_role,musical performance role,,performanceRole,/performance_role,/performance_role,performance role,/performance_role/lead_vocalist,/music/artist/contribution./music/recording_contribution/performance_role,"['Chris Cornell', 'lead vocalist']","['Steve Winwood', 'synthesizer']","['John Coltrane', 'tenor saxophone']"
182,/education/educational_institution/campuses,has campus,P527,hasCampus,hasCampus,hasCampus,/education/educational_institution/campuses,/education/educational_institution/campuses,has campuses at,"['Sidney Sussex College', 'Sidney Sussex College']","['San Diego State University', 'San Diego State University']","['Conservatoire de Paris', 'Conservatoire de Paris']"
183,/location/country/form_of_government,basic form of government,P122,government_form,government_type,government_form,form_of_government,form_of_government: republic,has governmental system,"['Israel', 'parliamentary system']","['North Korea', 'unitary state']","['Netherlands', 'unitary state']"
